disease,area_reported,mean_incidence,std_incidence,mean_cases,std_cases,population,weeks,lower_threshold,upper_threshold,outbreak_threshold
Dysentery,Nuwara Eliya,0.4162848512616878,0.4243010726354074,3.019230769230769,3.0773708196100826,725280,52,0.0,0.8405859238970952,1.2648869965325025
Dysentery,Polonnaruwa,0.11172435367461399,0.16258281570151698,0.5,0.7276068751089988,447530,52,0.0,0.274307169376131,0.4368899850776479
Dysentery,Puttalam,0.051669352220391776,0.10637532695959688,0.4230769230769231,0.8710181971974928,818816,52,0.0,0.15804467917998866,0.26442000613958555
Dysentery,Ratnapura,0.2182599790645028,0.13884935531492862,2.5,1.5904124511289144,1145423,52,0.0794106237495742,0.35710933437943143,0.4959586896943601
Dysentery,Trincomalee,0.11727535471451268,0.15161547380536977,0.5192307692307693,0.6712699294995845,442745,52,0.0,0.26889082851988244,0.4205063023252522
Dysentery,Vavuniya,0.21956692619477344,0.5384363693828239,0.2692307692307692,0.6602252917735246,122619,52,0.0,0.7580032955775974,1.2964396649604213
Meningitis,Ampara,0.10589758639254242,0.11074309383042014,0.7884615384615384,0.8245388125453312,744551,52,0.0,0.21664068022296257,0.3273837740533827
Meningitis,Anuradhapura,0.11617621608455705,0.1438735884626616,1.1153846153846154,1.3813015481123214,960080,52,0.0,0.26004980454721865,0.4039233930098802
Meningitis,Badulla,0.08818349150365287,0.11489760942968034,0.7692307692307693,1.0022598898877617,872307,52,0.0,0.2030811009333332,0.31797871036301356
Meningitis,Batticaloa,0.37756872589852963,0.33210223797675514,2.25,1.9790570145063193,595918,52,0.04546648792177449,0.7096709638752847,1.04177320185204
Meningitis,Colombo,0.04128833196596093,0.06642696253719102,0.9807692307692307,1.577916032152816,2375415,52,0.0,0.10771529450315195,0.17414225704034297
Meningitis,Galle,0.1542145865128409,0.15890392511431414,1.6923076923076923,1.7437671811054518,1097372,52,0.0,0.31311851162715504,0.47202243674146915
Meningitis,Gampaha,0.05683639888870947,0.07457002615015558,1.3846153846153846,1.816631726454923,2436142,52,0.0,0.13140642503886504,0.20597645118902064
Meningitis,Hambantota,0.07114950144396766,0.08924776041106804,0.5961538461538461,0.747797167230694,837889,52,0.0,0.1603972618550357,0.24964502226610374
Meningitis,Jaffna,0.19077149674660232,0.19985724928982224,1.1346153846153846,1.188652988723711,594751,52,0.0,0.39062874603642456,0.5904859953262468
Meningitis,Kalmunai,1.529778225865199,2.089596977862272,0.8076923076923077,1.1032654123717225,52798,52,0.0,3.619375203727471,5.7089721815897425
Meningitis,Kalutara,0.05890949569230204,0.07969555788112993,0.7692307692307693,1.0406518435225336,1305784,52,0.0,0.13860505357343197,0.21830061145456192
Meningitis,Kandy,0.036833119920482556,0.06419977095344934,0.5384615384615384,0.9385332415799282,1461895,52,0.0,0.10103289087393189,0.16523266182738122
Meningitis,Kegalle,0.11929812406792818,0.17907468849912148,1.0384615384615385,1.5588021854596128,870476,52,0.0,0.2983728125670497,0.4774475010661711
Meningitis,Kilinochchi,0.2641674560611824,0.4446361295032832,0.3269230769230769,0.5502638884280832,123756,52,0.0,0.7088035855644657,1.1534397150677487
Meningitis,Kurunegala,0.10984933978154032,0.1088244024288127,1.9423076923076923,1.9241852010091973,1768156,52,0.0010249373527276284,0.21867374221035302,0.3274981446391657
Meningitis,Mannar,0.23436914077148074,0.5889230694484046,0.40384615384615385,1.0147851194279347,172312,52,0.0,0.8232922102198853,1.4122152796682899
Meningitis,Matale,0.08395006212304595,0.18947780768546796,0.4423076923076923,0.9983017253524251,526870,52,0.0,0.2734278698085139,0.46290567749398187
Meningitis,Matara,0.05728404430852086,0.10282383486734745,0.38461538461538464,0.6903777355896469,671418,52,0.0,0.1601078791758683,0.26293171404321575
Meningitis,Monaragala,0.12757696353704578,0.17891743422265377,0.6730769230769231,0.9439415453435879,527585,52,0.0,0.30649439775969956,0.4854118319823533
Meningitis,Mullaitivu,0.1547351777766524,0.3646327426887307,0.21153846153846154,0.4984894225297637,136710,52,0.0,0.5193679204653832,0.8840006631541137
Meningitis,Nuwara Eliya,0.32083100001696957,0.37707144116209657,2.326923076923077,2.734823748460454,725280,52,0.0,0.6979024411790662,1.0749738823411628
Meningitis,Polonnaruwa,0.1031301726227206,0.12871596672436306,0.46153846153846156,0.576042565881542,447530,52,0.0,0.23184613934708365,0.36056210607144673
Meningitis,Puttalam,0.09159566984523997,0.1546224221747936,0.75,1.266073132354758,818816,52,0.0,0.24621809202003359,0.4008405141948272
Meningitis,Ratnapura,0.21154428740097966,0.13760180661557145,2.423076923076923,1.5761227413902767,1145423,52,0.07394248078540822,0.3491460940165511,0.4867479006321226
Meningitis,Trincomalee,0.08687063312186125,0.12771958565429853,0.38461538461538464,0.5654720795051239,442745,52,0.0,0.21459021877615977,0.34230980443045833
Meningitis,Vavuniya,0.31366703742110497,0.5857314167878686,0.38461538461538464,0.7182180059511166,122619,52,0.0,0.8993984542089735,1.4851298709968421
Tuberculosis,Ampara,0.20804748201844295,0.24811041662474612,1.5490196078431373,1.8473085880837137,744551,51,0.0,0.45615789864318906,0.7042683152679352
Tuberculosis,Anuradhapura,0.6331171748759499,0.33515129391181026,6.078431372549019,3.2177205425885065,960080,51,0.2979658809641396,0.9682684687877601,1.3034197626995705
Tuberculosis,Badulla,0.514749518051715,0.253631179477438,4.490196078431373,2.2124425327642556,872307,51,0.26111833857427696,0.768380697529153,1.022011877006591
Tuberculosis,Batticaloa,0.5198767642001542,0.42086769174408,3.0980392156862746,2.5080263312874873,595918,51,0.09900907245607415,0.9407444559442342,1.361612147688314
Tuberculosis,Colombo,1.818464496998316,0.41564256170064506,43.19607843137255,9.873235757021376,2375415,51,1.4028219352976707,2.234107058698961,2.6497496203996063
Tuberculosis,Galle,0.7522428092555955,0.3787382185265,8.254901960784315,4.156167163408623,1097372,51,0.3735045907290955,1.1309810277820955,1.5097192463085956
Tuberculosis,Gampaha,0.9755057743905298,0.5139160858635942,23.764705882352942,12.519725612479078,2436142,51,0.4615896885269356,1.489421860254124,2.003337946117718
Tuberculosis,Hambantota,0.46334931490644593,0.5864554832255989,3.8823529411764706,4.913845983844139,837889,51,0.0,1.0498047981320449,1.636260281357644
Tuberculosis,Jaffna,0.8340943207704553,0.8359403190133318,4.96078431372549,4.971763406734982,594751,51,0.0,1.670034639783787,2.5059749587971187
Tuberculosis,Kalmunai,4.790734051869166,3.794701130840914,2.5294117647058822,2.0035263030613852,52798,51,0.9960329210282524,8.58543518271008,12.380136313550995
Tuberculosis,Kalutara,0.8754413095136415,1.082307134668137,11.431372549019608,14.132593395354986,1305784,51,0.0,1.9577484441817785,3.0400555788499153
