week_number,area_reported,cases_reported
20,Kilinochchi,0
20,Mannar,3
20,Vavuniya,1
20,Mullaitivu,1
20,Batticaloa,3
20,Ampara,1
20,Trincomalee,0
20,Kalmune,2
20,Kurunegala,23
20,Puttalam,2
20,Anuradhapura,14
20,Polonnaruwa,2
20,Badulla,5
20,Monaragala,5
20,Ratnapura,10
20,Kegalle,5
21,Colombo,26
21,Gampaha,12
21,Kalutara,4
21,Kandy,0
21,Matale,3
21,NuwaraEliya,3
21,Galle,4
21,Hambantota,6
21,Matara,1
21,Jaffna,1
21,Kilinochchi,0
21,Mannar,2
21,Vavuniya,2
21,Mullaitivu,0
21,Batticaloa,0
21,Ampara,0
21,Trincomalee,1
21,Kalmune,5
21,Kurunegala,9
21,Puttalam,9
21,Anuradhapura,6
21,Polonnaruwa,0
21,Badulla,3
21,Monaragala,0
21,Ratnapura,4
21,Kegalle,0
22,Colombo,47
22,Gampaha,22
22,Kalutara,0
22,Kandy,0
22,Matale,2
22,NuwaraEliya,4
22,Galle,9
22,Hambantota,0
22,Matara,3
22,Jaffna,8
22,Kilinochchi,4
22,Mannar,0
22,Vavuniya,2
22,Mullaitivu,2
22,Batticaloa,4
22,Ampara,2
22,Trincomalee,0
22,Kalmune,2
22,Kurunegala,0
22,Puttalam,0
22,Anuradhapura,8
22,Polonnaruwa,7
22,Badulla,4
22,Monaragala,0
22,Ratnapura,2
22,Kegalle,0
23,Colombo,39
23,Gampaha,19
23,Kalutara,13
23,Kandy,0
23,Matale,2
23,NuwaraEliya,10
23,Galle,12
23,Hambantota,10
23,Matara,5
23,Jaffna,5
23,Kilinochchi,0
23,Mannar,1
23,Vavuniya,0
23,Mullaitivu,0
23,Batticaloa,5
23,Ampara,4
23,Trincomalee,6
23,Kalmune,2
23,Kurunegala,19
23,Puttalam,0
23,Anuradhapura,7
23,Polonnaruwa,0
23,Badulla,3
23,Monaragala,11
23,Ratnapura,5
23,Kegalle,15
24,Colombo,54
24,Gampaha,31
24,Kalutara,6
24,Kandy,14
24,Matale,4
24,NuwaraEliya,6
24,Galle,9
24,Hambantota,15
24,Matara,7
24,Jaffna,5
24,Kilinochchi,0
24,Mannar,3
24,Vavuniya,0
24,Mullaitivu,0
24,Batticaloa,6
24,Ampara,1
24,Trincomalee,7
24,Kalmune,7
24,Kurunegala,19
24,Puttalam,10
24,Anuradhapura,4
24,Polonnaruwa,0
24,Badulla,3
24,Monaragala,4
24,Ratnapura,12
24,Kegalle,10
25,Colombo,26
25,Gampaha,16
25,Kalutara,0
25,Kandy,46
25,Matale,0
25,NuwaraEliya,5
25,Galle,4
25,Hambantota,1
25,Matara,5
25,Jaffna,8
25,Kilinochchi,0
25,Mannar,0
25,Vavuniya,4
25,Mullaitivu,1
25,Batticaloa,4
25,Ampara,1
25,Trincomalee,2
25,Kalmune,4
25,Kurunegala,2
25,Puttalam,5
25,Anuradhapura,9
25,Polonnaruwa,3
25,Badulla,7
25,Monaragala,5
25,Ratnapura,1
25,Kegalle,7
26,Colombo,49
26,Gampaha,28
26,Kalutara,0
26,Kandy,6
26,Matale,6
26,NuwaraEliya,2
26,Galle,12
26,Hambantota,3
26,Matara,4
26,Jaffna,5
26,Kilinochchi,0
26,Mannar,5
26,Vavuniya,2
26,Mullaitivu,2
26,Batticaloa,3
26,Ampara,3
26,Trincomalee,8
26,Kalmune,4
26,Kurunegala,22
26,Puttalam,25
26,Anuradhapura,9
26,Polonnaruwa,6
26,Badulla,8
26,Monaragala,7
26,Ratnapura,7
26,Kegalle,11
27,Colombo,47
27,Gampaha,44
27,Kalutara,6
27,Kandy,0
27,Matale,3
27,NuwaraEliya,5
27,Galle,8
27,Hambantota,0
27,Matara,3
27,Jaffna,1
27,Kilinochchi,0
27,Mannar,0
27,Vavuniya,0
27,Mullaitivu,0
27,Batticaloa,2
27,Ampara,1
27,Trincomalee,7
27,Kalmune,1
27,Kurunegala,10
27,Puttalam,7
27,Anuradhapura,2
27,Polonnaruwa,0
27,Badulla,6
27,Monaragala,4
27,Ratnapura,4
27,Kegalle,10
28,Colombo,64
28,Gampaha,27
28,Kalutara,56
28,Kandy,5
28,Matale,3
28,NuwaraEliya,3
28,Galle,9
28,Hambantota,0
28,Matara,3
28,Jaffna,9
28,Kilinochchi,0
28,Mannar,0
28,Vavuniya,1
28,Mullaitivu,0
28,Batticaloa,8
28,Ampara,1
28,Trincomalee,4
28,Kalmune,0
28,Kurunegala,15
28,Puttalam,1
28,Anuradhapura,11
28,Polonnaruwa,0
28,Badulla,11
28,Monaragala,3
28,Ratnapura,6
28,Kegalle,0
29,Colombo,55
29,Gampaha,0
29,Kalutara,3
29,Kandy,0
29,Matale,2
29,NuwaraEliya,6
29,Galle,12
29,Hambantota,0
29,Matara,5
29,Jaffna,9
29,Kilinochchi,1
29,Mannar,1
29,Vavuniya,0
29,Mullaitivu,1
29,Batticaloa,7
29,Ampara,1
29,Trincomalee,4
29,Kalmune,3
29,Kurunegala,4
29,Puttalam,0
29,Anuradhapura,6
29,Polonnaruwa,2
29,Badulla,4
29,Monaragala,2
29,Ratnapura,8
29,Kegalle,4
30,Colombo,41
30,Gampaha,0
30,Kalutara,54
30,Kandy,13
30,Matale,2
30,NuwaraEliya,3
30,Galle,10
30,Hambantota,1
30,Matara,1
30,Jaffna,0
30,Kilinochchi,2
30,Mannar,0
30,Vavuniya,0
30,Mullaitivu,3
30,Batticaloa,1
30,Ampara,2
30,Trincomalee,0
30,Kalmune,0
30,Kurunegala,8
30,Puttalam,5
30,Anuradhapura,6
30,Polonnaruwa,11
30,Badulla,6
30,Monaragala,0
30,Ratnapura,12
30,Kegalle,25
31,Colombo,58
31,Gampaha,79
31,Kalutara,28
31,Kandy,38
31,Matale,0
31,NuwaraEliya,6
31,Galle,15
31,Hambantota,7
31,Matara,7
31,Jaffna,0
31,Kilinochchi,0
31,Mannar,0
31,Vavuniya,3
31,Mullaitivu,0
31,Batticaloa,6
31,Ampara,0
31,Trincomalee,2
31,Kalmune,1
31,Kurunegala,10
31,Puttalam,6
31,Anuradhapura,5
31,Polonnaruwa,2
31,Badulla,8
31,Monaragala,0
31,Ratnapura,10
31,Kegalle,11
32,Colombo,43
32,Gampaha,44
32,Kalutara,9
32,Kandy,0
32,Matale,0
32,NuwaraEliya,8
32,Galle,9
32,Hambantota,2
32,Matara,1
32,Jaffna,0
32,Kilinochchi,2
32,Mannar,0
32,Vavuniya,0
32,Mullaitivu,0
32,Batticaloa,0
32,Ampara,2
32,Trincomalee,0
32,Kalmune,7
32,Kurunegala,18
32,Puttalam,0
32,Anuradhapura,6
32,Polonnaruwa,0
32,Badulla,3
32,Monaragala,1
32,Ratnapura,7
32,Kegalle,2
33,Colombo,43
33,Gampaha,4
33,Kalutara,20
33,Kandy,50
33,Matale,2
33,NuwaraEliya,1
33,Galle,9
33,Hambantota,3
33,Matara,5
33,Jaffna,0
33,Kilinochchi,0
33,Mannar,0
33,Vavuniya,0
33,Mullaitivu,0
33,Batticaloa,4
33,Ampara,1
33,Trincomalee,3
33,Kalmune,3
33,Kurunegala,10
33,Puttalam,4
33,Anuradhapura,7
33,Polonnaruwa,4
33,Badulla,6
33,Monaragala,9
33,Ratnapura,6
33,Kegalle,16
34,Colombo,43
34,Gampaha,26
34,Kalutara,2
34,Kandy,17
34,Matale,3
34,NuwaraEliya,3
34,Galle,7
34,Hambantota,22
34,Matara,7
34,Jaffna,7
34,Kilinochchi,0
34,Mannar,0
34,Vavuniya,0
34,Mullaitivu,0
34,Batticaloa,2
34,Ampara,1
34,Trincomalee,0
34,Kalmune,3
34,Kurunegala,3
34,Puttalam,0
34,Anuradhapura,6
34,Polonnaruwa,0
34,Badulla,2
34,Monaragala,2
34,Ratnapura,12
34,Kegalle,9
35,Colombo,43
35,Gampaha,26
35,Kalutara,2
35,Kandy,17
35,Matale,3
35,NuwaraEliya,3
35,Galle,7
35,Hambantota,22
35,Matara,7
35,Jaffna,7
35,Kilinochchi,0
35,Mannar,0
