week_number,area_reported,cases_reported
19,Ratnapura,2
19,Kegalle,4
20,Colombo,44
20,Gampaha,27
20,Kalutara,10
20,Kandy,18
20,Matale,1
20,NuwaraEliya,5
20,Galle,10
20,Hambantota,0
20,Matara,2
20,Jaffna,1
20,Kilinochchi,0
20,Mannar,0
20,Vavuniya,0
20,Mullaitivu,0
20,Batticaloa,7
20,Ampara,3
20,Trincomalee,0
20,Kalmune,6
20,Kurunegala,24
20,Puttalam,1
20,Anuradhapura,8
20,Polonnaruwa,1
20,Badulla,2
20,Monaragala,1
20,Ratnapura,18
20,Kegalle,13
21,Colombo,37
21,Gampaha,19
21,Kalutara,24
21,Kandy,2
21,Matale,0
21,NuwaraEliya,1
21,Galle,10
21,Hambantota,8
21,Matara,3
21,Jaffna,1
21,Kilinochchi,0
21,Mannar,0
21,Vavuniya,0
21,Mullaitivu,0
21,Batticaloa,4
21,Ampara,1
21,Trincomalee,0
21,Kalmune,4
21,Kurunegala,11
21,Puttalam,7
21,Anuradhapura,8
21,Polonnaruwa,0
21,Badulla,3
21,Monaragala,0
21,Ratnapura,14
21,Kegalle,6
22,Colombo,45
22,Gampaha,19
22,Kalutara,2
22,Kandy,5
22,Matale,12
22,NuwaraEliya,16
22,Galle,11
22,Hambantota,1
22,Matara,4
22,Jaffna,0
22,Kilinochchi,0
22,Mannar,0
22,Vavuniya,0
22,Mullaitivu,0
22,Batticaloa,2
22,Ampara,1
22,Trincomalee,4
22,Kalmune,1
22,Kurunegala,5
22,Puttalam,0
22,Anuradhapura,10
22,Polonnaruwa,7
22,Badulla,7
22,Monaragala,4
22,Ratnapura,8
22,Kegalle,1
23,Colombo,71
23,Gampaha,36
23,Kalutara,17
23,Kandy,5
23,Matale,1
23,NuwaraEliya,4
23,Galle,9
23,Hambantota,6
23,Matara,3
23,Jaffna,15
23,Kilinochchi,2
23,Mannar,2
23,Vavuniya,0
23,Mullaitivu,6
23,Batticaloa,2
23,Ampara,1
23,Trincomalee,1
23,Kalmune,1
23,Kurunegala,1
23,Puttalam,0
23,Anuradhapura,15
23,Polonnaruwa,1
23,Badulla,1
23,Monaragala,1
23,Ratnapura,8
23,Kegalle,9
24,Colombo,51
24,Gampaha,41
24,Kalutara,14
24,Kandy,20
24,Matale,7
24,NuwaraEliya,11
24,Galle,9
24,Hambantota,7
24,Matara,4
24,Jaffna,13
24,Kilinochchi,2
24,Mannar,5
24,Vavuniya,0
24,Mullaitivu,0
24,Batticaloa,1
24,Ampara,0
24,Trincomalee,2
24,Kalmune,1
24,Kurunegala,3
24,Puttalam,1
24,Anuradhapura,7
24,Polonnaruwa,3
24,Badulla,10
24,Monaragala,2
24,Ratnapura,6
24,Kegalle,9
25,Colombo,70
25,Gampaha,33
25,Kalutara,25
25,Kandy,23
25,Matale,1
25,NuwaraEliya,5
25,Galle,12
25,Hambantota,1
25,Matara,7
25,Jaffna,3
25,Kilinochchi,1
25,Mannar,0
25,Vavuniya,1
25,Mullaitivu,0
25,Batticaloa,5
25,Ampara,1
25,Trincomalee,1
25,Kalmune,5
25,Kurunegala,20
25,Puttalam,12
25,Anuradhapura,4
25,Polonnaruwa,1
25,Badulla,1
25,Monaragala,1
25,Ratnapura,13
25,Kegalle,8
26,Colombo,54
26,Gampaha,32
26,Kalutara,10
26,Kandy,16
26,Matale,11
26,NuwaraEliya,4
26,Galle,5
26,Hambantota,4
26,Matara,2
26,Jaffna,1
26,Kilinochchi,0
26,Mannar,1
26,Vavuniya,0
26,Mullaitivu,0
26,Batticaloa,2
26,Ampara,1
26,Trincomalee,3
26,Kalmune,1
26,Kurunegala,5
26,Puttalam,5
26,Anuradhapura,7
26,Polonnaruwa,4
26,Badulla,8
26,Monaragala,4
26,Ratnapura,8
26,Kegalle,11
27,Colombo,54
27,Gampaha,46
27,Kalutara,6
27,Kandy,0
27,Matale,0
27,NuwaraEliya,0
27,Galle,7
27,Hambantota,2
27,Matara,3
27,Jaffna,10
27,Kilinochchi,3
27,Mannar,2
27,Vavuniya,0
27,Mullaitivu,0
27,Batticaloa,4
27,Ampara,2
27,Trincomalee,8
27,Kalmune,1
27,Kurunegala,2
27,Puttalam,1
27,Anuradhapura,8
27,Polonnaruwa,0
27,Badulla,4
27,Monaragala,4
27,Ratnapura,3
27,Kegalle,4
28,Colombo,38
28,Gampaha,16
28,Kalutara,27
28,Kandy,4
28,Matale,1
28,NuwaraEliya,3
28,Galle,7
28,Hambantota,1
28,Matara,2
28,Jaffna,0
28,Kilinochchi,0
28,Mannar,0
28,Vavuniya,0
28,Mullaitivu,0
28,Batticaloa,3
28,Ampara,1
28,Trincomalee,1
28,Kalmune,0
28,Kurunegala,18
28,Puttalam,10
28,Anuradhapura,13
28,Polonnaruwa,1
28,Badulla,4
28,Monaragala,3
28,Ratnapura,8
28,Kegalle,4
29,Colombo,88
29,Gampaha,16
29,Kalutara,6
29,Kandy,10
29,Matale,3
29,NuwaraEliya,15
29,Galle,21
29,Hambantota,0
29,Matara,6
29,Jaffna,11
29,Kilinochchi,1
29,Mannar,1
29,Vavuniya,6
29,Mullaitivu,2
29,Batticaloa,4
29,Ampara,1
29,Trincomalee,2
29,Kalmune,2
29,Kurunegala,18
29,Puttalam,0
29,Anuradhapura,10
29,Polonnaruwa,3
29,Badulla,7
29,Monaragala,1
29,Ratnapura,14
29,Kegalle,6
30,Colombo,33
30,Gampaha,17
30,Kalutara,27
30,Kandy,32
30,Matale,2
30,NuwaraEliya,8
30,Galle,10
30,Hambantota,2
30,Matara,3
30,Jaffna,6
30,Kilinochchi,3
30,Mannar,6
30,Vavuniya,0
30,Mullaitivu,6
30,Batticaloa,1
30,Ampara,1
30,Trincomalee,6
30,Kalmune,4
30,Kurunegala,0
30,Puttalam,0
30,Anuradhapura,3
30,Polonnaruwa,2
30,Badulla,5
30,Monaragala,2
30,Ratnapura,13
30,Kegalle,14
31,Colombo,28
31,Gampaha,30
31,Kalutara,10
31,Kandy,0
31,Matale,0
31,NuwaraEliya,0
31,Galle,17
31,Hambantota,8
31,Matara,9
31,Jaffna,8
31,Kilinochchi,0
31,Mannar,0
31,Vavuniya,3
31,Mullaitivu,0
31,Batticaloa,11
31,Ampara,1
31,Trincomalee,8
31,Kalmune,3
31,Kurunegala,12
31,Puttalam,6
31,Anuradhapura,2
31,Polonnaruwa,2
31,Badulla,12
31,Monaragala,1
31,Ratnapura,5
31,Kegalle,5
32,Colombo,39
32,Gampaha,32
32,Kalutara,8
32,Kandy,3
32,Matale,0
32,NuwaraEliya,3
32,Galle,5
32,Hambantota,4
32,Matara,0
32,Jaffna,0
32,Kilinochchi,0
32,Mannar,1
32,Vavuniya,0
32,Mullaitivu,0
32,Batticaloa,2
32,Ampara,2
32,Trincomalee,0
32,Kalmune,7
32,Kurunegala,6
32,Puttalam,3
32,Anuradhapura,6
32,Polonnaruwa,2
32,Badulla,7
32,Monaragala,6
32,Ratnapura,7
32,Kegalle,2
33,Colombo,42
33,Gampaha,8
33,Kalutara,9
33,Kandy,26
33,Matale,3
33,NuwaraEliya,5
33,Galle,6
33,Hambantota,2
33,Matara,4
33,Jaffna,12
33,Kilinochchi,3
33,Mannar,0
33,Vavuniya,0
33,Mullaitivu,0
33,Batticaloa,3
33,Ampara,3
33,Trincomalee,1
33,Kalmune,3
33,Kurunegala,13
33,Puttalam,7
33,Anuradhapura,4
33,Polonnaruwa,1
33,Badulla,2
33,Monaragala,3
33,Ratnapura,8
33,Kegalle,11
34,Colombo,45
34,Gampaha,31
34,Kalutara,6
34,Kandy,6
34,Matale,1
34,NuwaraEliya,2
34,Galle,8
34,Hambantota,8
34,Matara,3
34,Jaffna,15
34,Kilinochchi,0
34,Mannar,0
34,Vavuniya,0
34,Mullaitivu,0
34,Batticaloa,6
34,Ampara,1
34,Trincomalee,0
34,Kalmune,4
34,Kurunegala,0
34,Puttalam,0
34,Anuradhapura,9
34,Polonnaruwa,1
34,Badulla,2
34,Monaragala,2
34,Ratnapura,7
34,Kegalle,6
35,Colombo,48
35,Gampaha,31
35,Kalutara,4
35,Kandy,0
35,Matale,0
35,NuwaraEliya,0
35,Galle,6
35,Hambantota,5
35,Matara,3
35,Jaffna,4
35,Kilinochchi,1
35,Mannar,0
35,Vavuniya,0
35,Mullaitivu,0
35,Batticaloa,2
35,Ampara,1
35,Trincomalee,0
35,Kalmune,2
35,Kurunegala,0
35,Puttalam,0
35,Anuradhapura,4
35,Polonnaruwa,1
35,Badulla,2
35,Monaragala,2
35,Ratnapura,4
35,Kegalle,3
36,Colombo,32
36,Gampaha,22
36,Kalutara,5
36,Kandy,4
36,Matale,1
36,NuwaraEliya,2
36,Galle,5
36,Hambantota,2
36,Matara,3
36,Jaffna,0
36,Kilinochchi,0
36,Mannar,0
36,Vavuniya,0
36,Mullaitivu,0
36,Batticaloa,2
36,Ampara,2
36,Trincomalee,5
36,Kalmune,6
36,Kurunegala,5
36,Puttalam,1
36,Anuradhapura,17
36,Polonnaruwa,0
36,Badulla,2
36,Monaragala,2
36,Ratnapura,1
36,Kegalle,2
37,Colombo,46
37,Gampaha,36
37,Kalutara,11
37,Kandy,21
37,Matale,5
37,NuwaraEliya,15
37,Galle,13
37,Hambantota,0
37,Matara,9
37,Jaffna,2
37,Kilinochchi,2
37,Mannar,0
37,Vavuniya,2
37,Mullaitivu,4
37,Batticaloa,4
37,Ampara,0
37,Trincomalee,0
37,Kalmune,4
37,Kurunegala,1
37,Puttalam,0
37,Anuradhapura,8
37,Polonnaruwa,0
37,Badulla,6
37,Monaragala,2
37,Ratnapura,15
37,Kegalle,10
38,Colombo,34
38,Gampaha,17
38,Kalutara,25
38,Kandy,41
38,Matale,2
38,NuwaraEliya,11
38,Galle,4
38,Hambantota,1
38,Matara,1
38,Jaffna,1
38,Kilinochchi,1
38,Mannar,4
