week_number,area_reported,cases_reported
48,Colombo,2
48,Gampaha,1
48,Kalutara,0
48,Kandy,0
48,Matale,0
48,NuwaraEliya,0
48,Galle,0
48,Hambantota,0
48,Matara,0
48,Jaffna,0
48,Kilinochchi,0
48,Mannar,0
48,Vavuniya,2
48,Mullaitivu,0
48,Batticaloa,1
48,Ampara,0
48,Trincomalee,0
48,Kurunegala,2
48,Puttalam,1
48,Anuradhapura,0
48,Polonnaruwa,0
48,Badulla,0
48,Monaragala,0
48,Ratnapura,1
48,Kegalle,0
48,Kalmune,0
49,Colombo,0
49,Gampaha,3
49,Kalutara,0
49,Kandy,0
49,Matale,0
49,NuwaraEliya,0
49,Galle,2
49,Hambantota,0
49,Matara,1
49,Jaffna,1
49,Kilinochchi,0
49,Mannar,1
49,Vavuniya,0
49,Mullaitivu,0
49,Batticaloa,1
49,Ampara,3
49,Trincomalee,1
49,Kurunegala,13
49,Puttalam,5
49,Anuradhapura,0
49,Polonnaruwa,0
49,Badulla,3
49,Monaragala,4
49,Ratnapura,6
49,Kegalle,0
49,Kalmune,2
50,Colombo,3
50,Gampaha,0
50,Kalutara,4
50,Kandy,1
50,Matale,0
50,NuwaraEliya,0
50,Galle,1
50,Hambantota,0
50,Matara,0
50,Jaffna,0
50,Kilinochchi,0
50,Mannar,0
50,Vavuniya,0
50,Mullaitivu,0
50,Batticaloa,0
50,Ampara,1
50,Trincomalee,0
50,Kurunegala,8
50,Puttalam,4
50,Anuradhapura,1
50,Polonnaruwa,0
50,Badulla,3
50,Monaragala,5
50,Ratnapura,1
50,Kegalle,2
50,Kalmune,1
51,Colombo,1
51,Gampaha,1
51,Kalutara,4
51,Kandy,1
51,Matale,1
51,NuwaraEliya,0
51,Galle,2
51,Hambantota,1
51,Matara,0
51,Jaffna,2
51,Kilinochchi,0
51,Mannar,0
51,Vavuniya,0
51,Mullaitivu,0
51,Batticaloa,1
51,Ampara,2
51,Trincomalee,3
51,Kurunegala,6
51,Puttalam,4
51,Anuradhapura,2
51,Polonnaruwa,0
51,Badulla,8
51,Monaragala,3
51,Ratnapura,3
51,Kegalle,2
51,Kalmune,0
52,Colombo,6
52,Gampaha,4
52,Kalutara,10
52,Kandy,0
52,Matale,0
52,NuwaraEliya,0
52,Galle,1
52,Hambantota,1
52,Matara,1
52,Jaffna,0
52,Kilinochchi,0
52,Mannar,0
52,Vavuniya,0
52,Mullaitivu,1
52,Batticaloa,3
52,Ampara,4
52,Trincomalee,1
52,Kurunegala,10
52,Puttalam,3
52,Anuradhapura,2
52,Polonnaruwa,2
52,Badulla,1
52,Monaragala,1
52,Ratnapura,3
52,Kegalle,2
52,Kalmune,2
